epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,model,dataset_size,train/box_loss,train/dfl_loss,val/box_loss,val/dfl_loss
2,65.4487,0.88209,1.24584,0.40188,0.00246,0.68323,0.03563,0.01257,0.87672,1.09008,0.41215,0.000614408,0.000614408,0.0376144,rtdetr-l,500,,,,
3,89.5259,0.60241,1.39681,0.27379,0.03195,0.55829,0.06376,0.02587,0.61859,1.34535,0.35665,0.000902975,0.000902975,0.00590297,rtdetr-l,500,,,,
4,113.564,0.52071,1.35415,0.2294,0.12324,0.52484,0.11146,0.05314,0.66623,1.20588,0.52974,0.00092575,0.00092575,0.00092575,rtdetr-l,500,,,,
5,137.479,0.46473,1.40154,0.20344,0.18941,0.47565,0.15536,0.07063,0.57199,1.20575,0.34903,0.000901,0.000901,0.000901,rtdetr-l,500,,,,
6,161.767,0.45186,1.35457,0.19355,0.10814,0.47909,0.09841,0.0469,0.52219,1.19126,0.31594,0.00087625,0.00087625,0.00087625,rtdetr-l,500,,,,
7,185.609,0.40627,1.35294,0.16828,0.0695,0.42561,0.07041,0.03441,0.4277,1.36262,0.21255,0.0008515,0.0008515,0.0008515,rtdetr-l,500,,,,
8,209.431,0.4052,1.35178,0.1786,0.05461,0.41859,0.05991,0.03419,0.35226,1.48761,0.16603,0.00082675,0.00082675,0.00082675,rtdetr-l,500,,,,
9,233.242,0.41801,1.2889,0.17424,0.06407,0.46286,0.0729,0.04244,0.39706,1.46122,0.18321,0.000802,0.000802,0.000802,rtdetr-l,500,,,,
10,257.683,0.40818,1.2895,0.1627,0.07454,0.51353,0.08798,0.04618,0.41102,1.43847,0.2119,0.00077725,0.00077725,0.00077725,rtdetr-l,500,,,,
11,281.417,0.4118,1.19732,0.16065,0.15111,0.44122,0.15334,0.08991,0.43723,1.17306,0.21071,0.0007525,0.0007525,0.0007525,rtdetr-l,500,,,,
12,305.569,0.42803,1.08011,0.18291,0.43207,0.44607,0.396,0.23912,0.46427,0.95767,0.25072,0.00072775,0.00072775,0.00072775,rtdetr-l,500,,,,
13,329.422,0.43553,0.87558,0.1816,0.48276,0.57944,0.48547,0.29496,0.43854,0.83921,0.22342,0.000703,0.000703,0.000703,rtdetr-l,500,,,,
14,353.665,0.4645,0.79367,0.22372,0.58929,0.55829,0.58292,0.33647,0.44988,0.82474,0.22099,0.00067825,0.00067825,0.00067825,rtdetr-l,500,,,,
15,377.46,0.45685,0.85365,0.20444,0.67842,0.64043,0.67632,0.36238,0.50405,0.73474,0.27039,0.0006535,0.0006535,0.0006535,rtdetr-l,500,,,,
16,401.352,0.46909,0.69205,0.19861,0.7626,0.77767,0.77657,0.42046,0.48632,0.63196,0.26239,0.00062875,0.00062875,0.00062875,rtdetr-l,500,,,,
17,425.229,0.49135,0.5967,0.22482,0.69165,0.79292,0.76429,0.43504,0.47666,0.58197,0.26505,0.000604,0.000604,0.000604,rtdetr-l,500,,,,
18,449.599,0.48036,0.59915,0.22228,0.74243,0.7575,0.77821,0.46975,0.46486,0.69169,0.25872,0.00057925,0.00057925,0.00057925,rtdetr-l,500,,,,
19,473.505,0.45116,0.58737,0.20588,0.72476,0.75254,0.77978,0.46985,0.45684,0.60283,0.23778,0.0005545,0.0005545,0.0005545,rtdetr-l,500,,,,
20,497.254,0.45153,0.57755,0.20808,0.79373,0.80817,0.82625,0.49744,0.4385,0.57372,0.23359,0.00052975,0.00052975,0.00052975,rtdetr-l,500,,,,
21,521.07,0.42935,0.66941,0.18305,0.76336,0.81653,0.80265,0.48486,0.45159,0.59042,0.24199,0.000505,0.000505,0.000505,rtdetr-l,500,,,,
22,545.165,0.44685,0.58194,0.20326,0.78249,0.80964,0.7904,0.48795,0.43794,0.58675,0.24743,0.00048025,0.00048025,0.00048025,rtdetr-l,500,,,,
23,568.898,0.43197,0.5457,0.20689,0.79113,0.81997,0.80929,0.49842,0.43508,0.56149,0.23946,0.0004555,0.0004555,0.0004555,rtdetr-l,500,,,,
24,593.511,0.41143,0.5761,0.1986,0.81946,0.79193,0.81097,0.49571,0.42706,0.6112,0.23928,0.00043075,0.00043075,0.00043075,rtdetr-l,500,,,,
